m/z_RT_node,CNAT12_TV104__WC,CNAT1_TV105__WC,CNAT9_TV106__WC,MCAV1_TV107__WC,MCAV2_TV108__WC,MCAV3_TV109__WC,MCAV6_TV110__WC,MMEA14_TV103__WC,MMEA202_TV100_WC,MMEA24_TV99__WC,MMEA2_TV102__WC,OFAV12_TV113__WC,OFAV2_TV111__WC,OFAV3_TV112__WC,OFAV7_TV114__WC
,CNAT,CNAT,CNAT,MCAV,MCAV,MCAV,MCAV,MMEA,MMEA,MMEA,MMEA,OFAV,OFAV,OFAV,OFAV
369.352_25.8_782,153240.9915,1110768.927,950739.8415,187362.647,0,0,0,350056.592,1430931.443,60857.2865,1618683.595,0,0,0,0
291.195_9.3_3679,0,611645.176,1391033.151,477255.911,0,189876.2885,249320.099,241824.2975,78495.8095,1086422.682,208172.9635,169851.1265,141809.4995,245351.1435,716674.2725
885.536_16.6_1688,49158.968,30123.9695,10704.1475,591450.396,131973.109,704551.6075,370521.463,0,0,0,0,0,39915.9605,0,0
330.336_13.8_3318,0,1425497.646,520486.5995,2894380.352,327895.4665,79255.556,493560.1425,930236.0855,372912.0595,269053.9805,526034.438,0,34289.694,8568.342,0
566.587_19.6_5133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249.185_11.7_3399,0,53990.655,186980.5385,0,211588.6705,1556366.844,411733.356,228670.9635,0,30400.4715,0,258353.6805,0,284648.386,718474.022
397.383_22.9_1648,0,0,0,127743.825,0,0,0,0,0,21332.778,26956.1815,25123.739,0,134961.465,0
349.346_18.4_714,82732.4705,509984.7985,161911.8855,1100736.539,0,183245.7065,478002.003,323803.367,343601.3585,445592.326,403788.0465,117528.2145,172865.3015,265486.0935,32240.184
838.579_18_4468,0,137221.723,0,0,0,0,0,1992875.413,325772.5695,1297383.542,98367.752,0,0,0,0
484.203_6.3_4289,0,0,0,0,0,0,0,340583.692,173850.898,197119.372,168690.514,0,0,0,0
680.582_20.7_4593,0,216165.0965,1564843.809,999159.0335,255808.273,0,466256.4705,186754.3275,78386.25,259444.152,125202.867,571893.066,278201.096,255532.893,1125333.449
1157.767_8_3434,0,0,0,2843873.153,887796.2505,348962.56,8101483.467,0,0,0,0,0,0,0,0
